120|APW|ET01|60|60|Y|N|Y|1|E
121|APM|ET01|60|60|Y|N|Y|1|E
122|EVT|ET01|60|60|Y|N|Y|1|E
123|FSH|ET01|60|60|Y|N|Y|1|E
124|MBM|ET01|60|60|Y|N|Y|1|E
125|POS|ET01|60|60|Y|N|Y|1|E
126|ROB|ET01|60|60|Y|N|Y|1|E
127|SEF|ET01|60|60|Y|N|Y|1|E
128|SSF|ET01|60|60|Y|N|Y|1|E
129|UCC|ET01|60|60|Y|N|Y|1|E
130|MBT|ET01|60|60|Y|N|Y|1|E
131|EVE|ET01|60|60|Y|N|Y|1|E
132|TOS|ET01|60|60|Y|N|Y|1|E
133|VMB|ET01|60|60|Y|N|Y|1|E
134|MMU|ET01|60|60|Y|N|Y|1|E
135|SKU|ET01|60|60|Y|N|Y|1|E
136|TIK|ET01|60|60|Y|N|Y|1|E
137|BID|ET01|60|60|Y|N|Y|1|E
138|TOP|ET01|60|60|Y|N|Y|1|E
139|CTV|ET01|60|60|Y|N|Y|1|E
140|HMS|ET01|60|60|Y|N|Y|1|E
141|PJM|ET01|60|60|Y|N|Y|1|E
142|QMS|ET01|60|60|Y|N|Y|1|E
143|SYM|ET01|60|60|Y|N|Y|1|E
144|WIZ|ET01|60|60|Y|N|Y|1|E
145|CGN|ET01|60|60|Y|N|Y|1|E
146|APS|ET01|60|60|Y|N|Y|1|E
147|ODI|ET01|60|60|Y|N|Y|1|E
148|BIE|ET01|60|60|Y|N|Y|1|E
149|HOW|ET01|60|60|Y|N|Y|1|E
150|TMN|ET01|60|60|Y|N|Y|1|E
151|MEB|ET01|60|60|Y|N|Y|1|E
152|DEN|ET01|60|60|Y|N|Y|1|E
153|TMF|ET01|60|60|Y|N|Y|1|E
154|ETC|WE01|60|60|Y|Y|Y|1|W
155|KMT|ET01|60|60|Y|N|Y|1|E
156|LOT|ET01|60|60|Y|N|Y|1|E
157|BBR|ET01|60|60|Y|N|Y|1|E
158|ZVM|ET01|60|60|Y|N|Y|1|E
159|ZFH|ET01|60|60|Y|N|Y|1|E
160|ZWP|ET01|60|60|Y|N|Y|1|E
161|XEN|ET01|60|60|Y|N|Y|1|E
162|ZVD|ET01|60|60|Y|N|Y|1|E
163|PPE|ET01|60|60|Y|N|Y|1|E
164|HRD|ET01|60|60|Y|N|Y|1|E
165|SSS|ET01|60|60|Y|N|Y|1|E
166|TBG|ET01|60|60|Y|N|Y|1|E
167|TMZ|ET01|60|60|Y|N|Y|1|E
168|SPM|ET01|60|60|Y|N|Y|1|E
169|MFS|ET01|60|60|Y|N|Y|1|E
170|WSF|ET01|60|60|Y|N|Y|1|E
171|PTT|ET01|60|60|Y|N|Y|1|E
172|OMP|ET01|60|60|Y|N|Y|1|E
173|EBR|ET01|60|60|Y|N|Y|1|E
174|HMM|ET01|60|60|Y|N|Y|1|E
175|DMB|ET01|60|60|Y|N|Y|1|E
176|PON|ET01|60|60|Y|N|Y|1|E
177|SCW|ET01|60|60|Y|N|Y|1|E
178|DHC|ET01|60|60|Y|N|Y|1|E
179|HIC|ET01|60|60|Y|N|Y|1|E
180|NGP|WE01|60|60|Y|Y|Y|1|W
181|SSL|ET01|60|60|Y|N|Y|1|E
182|ICL|ET01|60|60|Y|N|Y|1|E
183|BRD|ET01|60|60|Y|N|Y|1|E
184|HNC|ET01|60|60|Y|N|Y|1|E
185|SPH|ET01|60|60|Y|N|Y|1|E
186|PTP|MM01|60|60|Y|N|Y|1|E
187|SIG|ET01|60|60|Y|N|Y|1|E
188|SIE|ET01|60|60|Y|N|Y|1|E
189|SIM|ET01|60|60|Y|N|Y|1|E
190|SIV|ET01|60|60|Y|N|Y|1|E
191|TSW|ET01|60|60|Y|N|Y|1|E
192|SIA|ET01|60|60|Y|N|Y|1|E
193|SIB|ET01|60|60|Y|N|Y|1|E
194|APD|ET01|60|60|Y|N|Y|1|E
195|MOB|ET01|60|60|Y|N|Y|1|E
196|ARO|ET01|60|60|Y|N|Y|1|E
197|TNA|ET01|60|60|Y|N|Y|1|E
198|OMT|ET01|60|60|Y|N|Y|1|E
199|VVV|ET01|60|60|Y|N|Y|1|E
200|WZS|ET01|60|60|Y|N|Y|1|E
201|ISP|ET01|60|60|Y|N|Y|1|E
202|KTD|ET01|60|60|Y|N|Y|1|E
203|VMS|ET01|60|60|Y|N|Y|1|E
204|TLS|ET01|60|60|Y|N|Y|1|E
205|NGD|ET01|60|60|Y|N|Y|1|E
206|GBM|ET01|60|60|Y|N|Y|1|E
207|KTE|ET01|60|60|Y|N|Y|1|E
208|MBS|ET01|60|60|Y|N|Y|1|E
209|TLT|ET01|60|60|Y|N|Y|1|E
210|HPT|ET01|60|60|Y|N|Y|1|E
211|HPD|ET01|60|60|Y|N|Y|1|E
212|TSL|ET01|60|60|Y|N|Y|1|E
213|MEL|ET01|60|60|Y|N|Y|1|E
214|JNS|ET01|60|60|Y|N|Y|1|E
